Date, Time, Server Name, Alarm Key, Alarm Name, Launched by, Alarm Status, Alarm Group, General Text Message, Display Message 1, Display Message 2, Alarm Reference, Executed Time, Name, Phone Number, Phone Type, Call Status
31.03.2022, 22:55:44, MC-HOVSETER, 5126, Detektor 101 Avstilling, Alarm_on_success_5002, Done, 59 Avstilling 1O, 1O1;;;;;Sensor;;;6, 1O1;;;;;Sensor;;, 1O1;;;;;Sensor;;, 6246154E
31.03.2022, 22:53:39, MC-HOVSETER, 5133, Detektor 1O3 Avstilling, Alarm_on_success_5057, Done, 59 Avstilling 1O, 1O3;;;;;Sensor;;;6, 1O3;;;;;Sensor;;, 1O3;;;;;Sensor;;, 624614D2
31.03.2022, 22:48:24, MC-HOVSETER, 5137, Detektor 1O4 Avstilling, Alarm_on_success_5060, Done, 59 Avstilling 1O, 1O4;;;;;Sensor;;;6, 1O4;;;;;Sensor;;, 1O4;;;;;Sensor;;, 62461398
31.03.2022, 22:41:16, MC-HOVSETER, 5137, Detektor 1O4 Avstilling, Alarm_on_success_5060, Done, 59 Avstilling 1O, 1O4;;;;;Sensor;;;6, 1O4;;;;;Sensor;;, 1O4;;;;;Sensor;;, 624611E9
31.03.2022, 21:41:20, MC-HOVSETER, 5060, Detektor 1O4 ID: 23, 1O4  23  DCT, Escalated & Done, 10 Hovseterhjemmet 1A, Terminal alarm event:, Terminal alarm e, Terminal alarm e, 624603DC
31.03.2022, 09:01:35, MC-HOVSETER, 5060, Detektor 1O4 ID: 23, 1O4  23  DCT, Canceled, 10 Hovseterhjemmet 1A, Terminal alarm event:, Terminal alarm e, Terminal alarm e, 624551CD
31.03.2022, 09:01:30, MC-HOVSETER, 5060, Detektor 1O4 ID: 23, 1O4  23  DCT, Canceled, 10 Hovseterhjemmet 1A, Terminal alarm event:, Terminal alarm e, Terminal alarm e, 624551C8
31.03.2022, 09:01:25, MC-HOVSETER, 5060, Detektor 1O4 ID: 23, 1O4  23  DCT, Canceled, 10 Hovseterhjemmet 1A, Terminal alarm event:, Terminal alarm e, Terminal alarm e, 624551C2
31.03.2022, 09:01:16, MC-HOVSETER, 5060, Detektor 1O4 ID: 23, 1O4  23  DCT, Canceled, 10 Hovseterhjemmet 1A, Terminal alarm event:, Terminal alarm e, Terminal alarm e, 624551B9
31.03.2022, 09:01:10, MC-HOVSETER, 5060, Detektor 1O4 ID: 23, 1O4  23  DCT, Canceled, 10 Hovseterhjemmet 1A, Terminal alarm event:, Terminal alarm e, Terminal alarm e, 624551B4
31.03.2022, 09:01:06, MC-HOVSETER, 5060, Detektor 1O4 ID: 23, 1O4  23  DCT, Canceled, 10 Hovseterhjemmet 1A, Terminal alarm event:, Terminal alarm e, Terminal alarm e, 624551AF
31.03.2022, 09:01:02, MC-HOVSETER, 5060, Detektor 1O4 ID: 23, 1O4  23  DCT, Canceled, 10 Hovseterhjemmet 1A, Terminal alarm event:, Terminal alarm e, Terminal alarm e, 624551AB
31.03.2022, 09:00:59, MC-HOVSETER, 5060, Detektor 1O4 ID: 23, 1O4  23  DCT, Escalated & Done, 10 Hovseterhjemmet 1A, Terminal alarm event:, Terminal alarm e, Terminal alarm e, 624551A8
31.03.2022, 08:17:34, MC-HOVSETER, 5060, Detektor 1O4 ID: 23, 1O4  23  DCT, Canceled, 10 Hovseterhjemmet 1A, Terminal alarm event:, Terminal alarm e, Terminal alarm e, 6245477B
31.03.2022, 08:17:29, MC-HOVSETER, 5060, Detektor 1O4 ID: 23, 1O4  23  DCT, Canceled, 10 Hovseterhjemmet 1A, Terminal alarm event:, Terminal alarm e, Terminal alarm e, 62454776
