Date, Time, Server Name, Alarm Key, Alarm Name, Launched by, Alarm Status, Alarm Group, General Text Message, Display Message 1, Display Message 2, Alarm Reference, Executed Time, Name, Phone Number, Phone Type, Call Status
31.03.2022, 23:05:00, MC-HOVSETER, 2942, Borte 428, 428, Canceled, Empty group, No message for alarm 2942, 428, 428, 6246177B, 01:00:00, , , , No Answer
31.03.2022, 23:04:59, MC-HOVSETER, 2927, Tilstede 428, 428, Canceled, Empty group, No message for alarm 2927, 428, 428, 6246177A, 01:00:00, , , , No Answer
31.03.2022, 23:01:35, MC-HOVSETER, 2957, Anrop 428, 428, Done, 45 Hovseterhjemmet Natt 4, No message for alarm 2957, 428, 428, 624616A8, 23:01:36, Hovseterhjemmet-55 Natt 4 1, 90610798, 3G+, Executed
31.03.2022, 23:01:35, MC-HOVSETER, 2957, Anrop 428, 428, Done, 45 Hovseterhjemmet Natt 4, No message for alarm 2957, 428, 428, 624616A8, 23:01:37, Shuttle 4. etg, 10.10.10.44, IND, Executed
31.03.2022, 23:01:35, MC-HOVSETER, 2957, Anrop 428, 428, Done, 45 Hovseterhjemmet Natt 4, No message for alarm 2957, 428, 428, 624616A8, 23:01:40, Hovseterhjemmet-56 Natt 4 2, 90633721, 3G+, Executed
31.03.2022, 22:57:56, MC-HOVSETER, 2957, Anrop 428, 428, Done, 45 Hovseterhjemmet Natt 4, No message for alarm 2957, 428, 428, 624615CE, 22:57:58, Hovseterhjemmet-55 Natt 4 1, 90610798, 3G+, Executed
31.03.2022, 22:57:56, MC-HOVSETER, 2957, Anrop 428, 428, Done, 45 Hovseterhjemmet Natt 4, No message for alarm 2957, 428, 428, 624615CE, 22:57:59, Shuttle 4. etg, 10.10.10.44, IND, Executed
31.03.2022, 22:57:56, MC-HOVSETER, 2957, Anrop 428, 428, Done, 45 Hovseterhjemmet Natt 4, No message for alarm 2957, 428, 428, 624615CE, 22:58:01, Hovseterhjemmet-56 Natt 4 2, 90633721, 3G+, Executed
31.03.2022, 22:54:20, MC-HOVSETER, 2957, Anrop 428, 428, Done, 45 Hovseterhjemmet Natt 4, No message for alarm 2957, 428, 428, 624614F6, 22:54:22, Shuttle 4. etg, 10.10.10.44, IND, Executed
31.03.2022, 22:54:20, MC-HOVSETER, 2957, Anrop 428, 428, Done, 45 Hovseterhjemmet Natt 4, No message for alarm 2957, 428, 428, 624614F6, 22:54:22, Hovseterhjemmet-55 Natt 4 1, 90610798, 3G+, Executed
31.03.2022, 22:54:20, MC-HOVSETER, 2957, Anrop 428, 428, Done, 45 Hovseterhjemmet Natt 4, No message for alarm 2957, 428, 428, 624614F6, 22:54:29, Hovseterhjemmet-56 Natt 4 2, 90633721, 3G+, Executed
31.03.2022, 22:50:44, MC-HOVSETER, 2957, Anrop 428, 428, Done, 45 Hovseterhjemmet Natt 4, No message for alarm 2957, 428, 428, 6246141D, 22:50:45, Hovseterhjemmet-55 Natt 4 1, 90610798, 3G+, Executed
31.03.2022, 22:50:44, MC-HOVSETER, 2957, Anrop 428, 428, Done, 45 Hovseterhjemmet Natt 4, No message for alarm 2957, 428, 428, 6246141D, 22:50:46, Shuttle 4. etg, 10.10.10.44, IND, Executed
31.03.2022, 22:50:44, MC-HOVSETER, 2957, Anrop 428, 428, Done, 45 Hovseterhjemmet Natt 4, No message for alarm 2957, 428, 428, 6246141D, 22:50:46, Hovseterhjemmet-56 Natt 4 2, 90633721, 3G+, Executed
31.03.2022, 22:47:08, MC-HOVSETER, 2957, Anrop 428, 428, Done, 45 Hovseterhjemmet Natt 4, No message for alarm 2957, 428, 428, 62461346, 22:47:09, Hovseterhjemmet-55 Natt 4 1, 90610798, 3G+, Executed
31.03.2022, 22:47:08, MC-HOVSETER, 2957, Anrop 428, 428, Done, 45 Hovseterhjemmet Natt 4, No message for alarm 2957, 428, 428, 62461346, 22:47:10, Shuttle 4. etg, 10.10.10.44, IND, Executed
31.03.2022, 22:47:08, MC-HOVSETER, 2957, Anrop 428, 428, Done, 45 Hovseterhjemmet Natt 4, No message for alarm 2957, 428, 428, 62461346, 22:47:10, Hovseterhjemmet-56 Natt 4 2, 90633721, 3G+, Executed
31.03.2022, 22:43:32, MC-HOVSETER, 2957, Anrop 428, 428, Done, 45 Hovseterhjemmet Natt 4, No message for alarm 2957, 428, 428, 6246126E, 22:43:33, Hovseterhjemmet-55 Natt 4 1, 90610798, 3G+, Executed
31.03.2022, 22:43:32, MC-HOVSETER, 2957, Anrop 428, 428, Done, 45 Hovseterhjemmet Natt 4, No message for alarm 2957, 428, 428, 6246126E, 22:43:34, Shuttle 4. etg, 10.10.10.44, IND, Executed
31.03.2022, 22:43:32, MC-HOVSETER, 2957, Anrop 428, 428, Done, 45 Hovseterhjemmet Natt 4, No message for alarm 2957, 428, 428, 6246126E, 22:43:37, Hovseterhjemmet-56 Natt 4 2, 90633721, 3G+, Executed
31.03.2022, 22:39:56, MC-HOVSETER, 2957, Anrop 428, 428, Done, 45 Hovseterhjemmet Natt 4, No message for alarm 2957, 428, 428, 62461196, 22:39:58, Hovseterhjemmet-55 Natt 4 1, 90610798, 3G+, Executed
31.03.2022, 22:39:56, MC-HOVSETER, 2957, Anrop 428, 428, Done, 45 Hovseterhjemmet Natt 4, No message for alarm 2957, 428, 428, 62461196, 22:39:58, Shuttle 4. etg, 10.10.10.44, IND, Executed
31.03.2022, 22:39:56, MC-HOVSETER, 2957, Anrop 428, 428, Done, 45 Hovseterhjemmet Natt 4, No message for alarm 2957, 428, 428, 62461196, 22:40:02, Hovseterhjemmet-56 Natt 4 2, 90633721, 3G+, Executed
31.03.2022, 22:36:20, MC-HOVSETER, 2957, Anrop 428, 428, Done, 45 Hovseterhjemmet Natt 4, No message for alarm 2957, 428, 428, 624610BE, 22:36:22, Shuttle 4. etg, 10.10.10.44, IND, Executed
31.03.2022, 22:36:20, MC-HOVSETER, 2957, Anrop 428, 428, Done, 45 Hovseterhjemmet Natt 4, No message for alarm 2957, 428, 428, 624610BE, 22:36:22, Hovseterhjemmet-56 Natt 4 2, 90633721, 3G+, Executed
31.03.2022, 22:36:20, MC-HOVSETER, 2957, Anrop 428, 428, Done, 45 Hovseterhjemmet Natt 4, No message for alarm 2957, 428, 428, 624610BE, 22:36:22, Hovseterhjemmet-55 Natt 4 1, 90610798, 3G+, Executed
31.03.2022, 22:32:44, MC-HOVSETER, 2957, Anrop 428, 428, Done, 45 Hovseterhjemmet Natt 4, No message for alarm 2957, 428, 428, 62460FE6, 22:32:46, Shuttle 4. etg, 10.10.10.44, IND, Executed
31.03.2022, 22:32:44, MC-HOVSETER, 2957, Anrop 428, 428, Done, 45 Hovseterhjemmet Natt 4, No message for alarm 2957, 428, 428, 62460FE6, 22:32:46, Hovseterhjemmet-55 Natt 4 1, 90610798, 3G+, Executed
31.03.2022, 22:32:44, MC-HOVSETER, 2957, Anrop 428, 428, Done, 45 Hovseterhjemmet Natt 4, No message for alarm 2957, 428, 428, 62460FE6, 22:32:49, Hovseterhjemmet-56 Natt 4 2, 90633721, 3G+, Executed
31.03.2022, 22:29:08, MC-HOVSETER, 2957, Anrop 428, 428, Done, 45 Hovseterhjemmet Natt 4, No message for alarm 2957, 428, 428, 62460F0E, 22:29:09, Hovseterhjemmet-55 Natt 4 1, 90610798, 3G+, Executed
31.03.2022, 22:29:08, MC-HOVSETER, 2957, Anrop 428, 428, Done, 45 Hovseterhjemmet Natt 4, No message for alarm 2957, 428, 428, 62460F0E, 22:29:10, Shuttle 4. etg, 10.10.10.44, IND, Executed
31.03.2022, 22:29:08, MC-HOVSETER, 2957, Anrop 428, 428, Done, 45 Hovseterhjemmet Natt 4, No message for alarm 2957, 428, 428, 62460F0E, 22:29:10, Hovseterhjemmet-56 Natt 4 2, 90633721, 3G+, Executed
31.03.2022, 22:25:32, MC-HOVSETER, 2957, Anrop 428, 428, Done, 45 Hovseterhjemmet Natt 4, No message for alarm 2957, 428, 428, 62460E36, 22:25:34, Shuttle 4. etg, 10.10.10.44, IND, Executed
31.03.2022, 22:25:32, MC-HOVSETER, 2957, Anrop 428, 428, Done, 45 Hovseterhjemmet Natt 4, No message for alarm 2957, 428, 428, 62460E36, 22:25:34, Hovseterhjemmet-56 Natt 4 2, 90633721, 3G+, Executed
31.03.2022, 22:25:32, MC-HOVSETER, 2957, Anrop 428, 428, Done, 45 Hovseterhjemmet Natt 4, No message for alarm 2957, 428, 428, 62460E36, 22:25:34, Hovseterhjemmet-55 Natt 4 1, 90610798, 3G+, Executed
31.03.2022, 22:21:56, MC-HOVSETER, 2957, Anrop 428, 428, Done, 45 Hovseterhjemmet Natt 4, No message for alarm 2957, 428, 428, 62460D5E, 22:21:57, Hovseterhjemmet-55 Natt 4 1, 90610798, 3G+, Executed
31.03.2022, 22:21:56, MC-HOVSETER, 2957, Anrop 428, 428, Done, 45 Hovseterhjemmet Natt 4, No message for alarm 2957, 428, 428, 62460D5E, 22:21:58, Hovseterhjemmet-56 Natt 4 2, 90633721, 3G+, Executed
31.03.2022, 22:21:56, MC-HOVSETER, 2957, Anrop 428, 428, Done, 45 Hovseterhjemmet Natt 4, No message for alarm 2957, 428, 428, 62460D5E, 22:21:58, Shuttle 4. etg, 10.10.10.44, IND, Executed
